Attack Step,Mitigation,Type,Description,TTC Reference
Malicious tool injection,Code signing on training tools,Preventative,Implement mechanisms to validate that software code and libraries are from trusted sources using AWS Signer,
Training process modification,Input validation on training configuration,Preventative,Validate training configurations and parameters to prevent unauthorized modifications,
Data tampering execution,Fine-grained access controls on training environments,Preventative,Implement principle of least privilege access and secure the governed ML environment,
Pipeline configuration manipulation,Access controls on training data uploads,Preventative,Restrict access to training pipelines using authentication and authorization controls,
Parameter modification,Input validation on training configuration,Preventative,Implement comprehensive validation of training parameters and configuration changes,
Training algorithm alteration,Code signing on training tools,Preventative,Verify the integrity of training algorithms and tools through cryptographic signatures,
Dependency poisoning,Establish update and patching processes,Preventative,Implement Software Composition Analysis (SCA) for open source dependencies and regular updates,
Library replacement,Monitor advisories for vulnerabilities,Detective,Continuously monitor security advisories for vulnerabilities in training dependencies,
Code execution during training,Perform software composition analysis for open source dependencies,Preventative,Scan software component inventories and dependency manifest files for known vulnerabilities,
Checkpoint manipulation,Encryption mechanisms,Preventative,Use AWS KMS envelope encryption for training checkpoints and model artifacts at rest and in transit,
Model weight modification,Verify model provenance and integrity,Preventative,Implement cryptographic signatures and checksums for model verification during training,
Gradient manipulation,Anomaly detection in training or fine tuning data,Detective,Monitor training metrics and gradients for unusual patterns that may indicate tampering,
Learning process corruption,Monitor behaviors for anomalies,Detective,Implement real-time monitoring of training processes for suspicious activities and anomalies,
