Attack Step,Mitigation,Type,Description,TTC Reference
Plugin compromise,Security analysis of third-party plugins,Preventative,Implement Software Composition Analysis (SCA) to assess risks and verify external dependencies,
Malicious plugin deployment,User authorization required to enable plugins,Preventative,Define approval workflow requiring manual review of plugin code dependencies and permissions,
Prompt injection via plugin,Isolate plugins and agents into separate trust boundaries,Preventative,Separate plugins into different AWS accounts to create trust boundaries and limit impact,
Plugin vulnerability exploitation,Perform static/dynamic analysis on plugins,Preventative,Use SAST and DAST tools for comprehensive security testing of plugin code,
Code injection,Sandboxed execution contexts,Preventative,Use AWS Sandbox OU accounts for isolated testing environments separate from production,
Plugin behavior modification,Re-validate LLM requests after plugin handling,Preventative,Implement validation of all LLM requests after plugin processing to detect manipulation,
Supply chain attack,Establish secure development guidelines,Preventative,Adopt security-focused development practices early in the software development lifecycle,
Backdoor insertion,Constrained execution contexts for plugins,Preventative,Use AWS Lambda and Fargate for constrained plugin execution with minimal administrative overhead,
Persistent access establishment,Restrict plugin and agent capabilities,Preventative,Apply least privilege permissions to plugins interfacing with LLM systems via IAM roles,
Plugin permission abuse,Least privilege permissions,Preventative,Restrict IAM roles and policies to provide minimum required access to logs and data,
Privilege escalation,Restrict plugin and agent capabilities,Preventative,Minimize data access and disable unnecessary functions via IAM roles with human approval for changes,
Indirect prompt injection,Segregate external content,Preventative,Isolate external content from user prompts and run through sanitization processes,
Data exfiltration,Monitor agent behaviors,Detective,Implement real-time activity monitoring of agents with privileged access and log all interactions,
