Attack Step,Mitigation,Type,Description,TTC Reference
Prompt injection attempts,Input validation and sanitization,Preventative,Implement thorough input validation and sanitization on prompts before sending to LLM,
System prompt extraction queries,Segregate user prompts from system prompts,Preventative,Use carefully crafted prompts with clear instructions and guardrails to prevent system prompt override,
Adversarial suffix crafting,Implement system prompt protection,Preventative,Remove sensitive information from system prompts and use independent guardrails for safety policy compliance,
Social engineering techniques,Prompt filtering and detection,Preventative,Analyze user queries for logical fallacies or inconsistencies that may indicate malicious intent,
Conversation manipulation,Restrict LLM capabilities through permissions,Preventative,Grant minimum permissions required following principle of least privilege for LLM system access,
Context window exploitation,Segregate external content,Preventative,Isolate external content from user prompts and run through sanitization processes before LLM processing,
Multi-turn conversation attacks,Enable content moderation,Preventative,Use Amazon Bedrock Guardrails for content filtering across categories like hate insults and violence,
Gradual information extraction,Monitor behaviors for anomalies,Detective,Implement real-time monitoring using Amazon Bedrock and CloudWatch integration for suspicious patterns,
Prompt template reconstruction,Implement system prompt protection,Preventative,Use multi-layered defenses combining context locking input validation and model fine-tuning,
Obfuscated text injection,Input validation and sanitization,Preventative,Apply strict input validation with LangChain validators to detect potential prompt extraction attempts,
Encoding bypass attempts,Implement multimodal prompt injection detection,Preventative,Use Amazon Bedrock Guardrails multimodal toxicity detection with configurable thresholds,
