Attack Step,Mitigation,Type,Description,TTC Reference
Repository reconnaissance,Data access controls,Preventative,Implement encryption role-based access control and user monitoring for model artifact repositories,
Proprietary data identification,Behavior monitoring,Detective,Implement real-time tracking of access to fine-tuning data and model artifacts with anomaly detection,
Data exfiltration,Anomaly detection on access patterns,Detective,Use automated anomaly detection on access patterns like unusual times or bulk transfers,
Access privilege abuse,Fine-grained access controls on training environments,Preventative,Validate ML data permissions privacy and ensure data permissions for ML use are legitimate,
Fine-tuning data access,Data access controls,Preventative,Secure the governed ML environment and protect against data poisoning threats with access controls,
Model store infiltration,Encryption mechanisms,Preventative,Use AWS KMS envelope encryption for model artifacts at rest and in transit to prevent unauthorized access,
Artifact enumeration,Behavior monitoring,Detective,Monitor for suspicious activity patterns and implement immediate alerting on detected anomalies,
Sensitive model discovery,Data access controls,Preventative,Implement the principle of least privilege access and secure the data and modeling environment,
Bulk data extraction,Anomaly detection on access patterns,Detective,Leverage machine learning algorithms to identify abnormal behavior and bulk transfer threats,
Training data analysis,Data access controls,Preventative,Protect sensitive data privacy and implement fine-grained access controls on training environments,
Proprietary pattern identification,Behavior monitoring,Detective,Conduct regular audits of access logs coupled with restrictive access controls,
External transfer,Encryption mechanisms,Preventative,Encrypt data stores server-side and client-side using AWS KMS to prevent unauthorized access if stolen,
Competitive advantage,Legal safeguards on data usage,Preventative,Work with legal teams to enforce contracts that restrict data usage and competitive misuse,
