Attack Step,Mitigation,Type,Description,TTC Reference
Crafted query development,Prompt filtering and detection,Preventative,Analyze user queries for logical fallacies or inconsistencies that may indicate malicious intent,
Sensitive information probing,Enable content moderation,Preventative,Use Amazon Bedrock Guardrails for content filtering and PII redaction to prevent sensitive data exposure,
API response analysis,Monitoring for suspicious API use,Detective,Leverage AWS CloudTrail and CloudWatch to analyze logs for unusual API activities and set alerts,
API reconnaissance,API authentication and authorization,Preventative,Use Amazon Cognito for secure authentication and fine-grained access controls with JWT tokens,
Endpoint discovery,Request rate limiting,Preventative,Implement AWS WAF rate-based rules to limit requests per IP address within specific timeframes,
Parameter enumeration,Per-user throttling,Preventative,Configure API Gateway usage plans with request quotas and throttling thresholds per user,
Prompt engineering,Prompt filtering and detection,Preventative,Implement LangChain validators to detect potential prompt extraction and manipulation attempts,
Context manipulation,Segregate user prompts from system prompts,Preventative,Maintain clear separation between user inputs and system instructions with proper validation,
Information leakage induction,Enable content moderation,Preventative,Apply Amazon Bedrock Guardrails with configurable thresholds for detecting sensitive content,
Iterative querying,Anomaly detection on access patterns,Detective,Use AWS CloudWatch anomaly detection to identify unusual behavior in API request patterns,
Pattern recognition,Monitoring for suspicious API use,Detective,Implement behavioral modeling to surface unusual access patterns and potential data mining attempts,
Data reconstruction,Encryption mechanisms,Preventative,Use AWS KMS envelope encryption for data at rest and in transit to protect API responses,
Response correlation,Enable logging and monitoring,Detective,Implement comprehensive logging with Amazon Bedrock model invocation logging for audit trails,
Knowledge base mapping,Secure RAG knowledge base with access controls,Preventative,Configure vector databases with data access policies and fine-grained control using customer-managed keys,
