Attack Step,Mitigation,Type,Description,TTC Reference
Malicious data preparation,Training data vetting and verification,Preventative,Implement comprehensive validation of training data sources with data lineage tracking,
Biased data injection,Anomaly detection in training or fine tuning data,Detective,Use machine learning algorithms to identify abnormal patterns in training datasets,
Training pipeline execution,Access controls on training data uploads,Preventative,Implement role-based access control and user monitoring for training data uploads,
Backdoor insertion,Code signing on training tools,Preventative,Use AWS Signer to validate software code and libraries from trusted sources,
Trigger pattern embedding,Input validation on training configuration,Preventative,Validate training configurations and parameters to prevent malicious modifications,
Steganographic data hiding,Training data vetting and verification,Preventative,Implement deep inspection of training data to detect hidden or embedded malicious content,
Data manipulation,Fine-grained access controls on training environments,Preventative,Secure the governed ML environment with principle of least privilege access controls,
Label corruption,Anomaly detection in training or fine tuning data,Detective,Monitor for unusual changes in data labels and classification patterns,
Feature poisoning,Data sanitization and scrubbing,Preventative,Implement comprehensive data cleaning with PII scrubbing and anonymization techniques,
Adversarial examples,Training data vetting and verification,Preventative,Use statistical analysis to identify adversarial examples in training datasets,
Distribution shift,Anomaly detection in training or fine tuning data,Detective,Monitor for significant changes in data distribution that may indicate poisoning,
Inference manipulation,Monitor behaviors for anomalies,Detective,Implement real-time monitoring of model outputs for unusual behavior patterns,
Downstream system impact,Data access controls,Preventative,Implement encryption role-based access controls and activity monitoring for training data,
