Attack Step,Mitigation,Type,Description,TTC Reference
Knowledge base reconnaissance,Secure RAG knowledge base with access controls,Preventative,Create custom service roles for knowledge bases following principle of least privilege,
Source document identification,Data access controls,Preventative,Configure vector databases with data access policies for fine-grained control and network isolation,
Malicious content injection,Input sanitization on external data,Preventative,Implement comprehensive validation and sanitization of external data before knowledge base ingestion,
OpenSearch access exploitation,Secure RAG knowledge base with access controls,Preventative,Configure Amazon OpenSearch Serverless with data access policies and customer-managed KMS keys,
Vector database manipulation,Encryption mechanisms,Preventative,Encrypt vector stores with customer-managed keys and utilize private VPC endpoints for network isolation,
Embedding poisoning,Anomaly detection on access patterns,Detective,Implement versioning audit logging and automated alerts for unusual access patterns,
Document source infiltration,Vetting and verification of training data suppliers,Preventative,Implement comprehensive vetting processes for external data sources and suppliers,
Content replacement,Contract terms enforcing integrity,Preventative,Work with legal teams to enforce contracts that ensure data integrity from external suppliers,
Misinformation insertion,Input sanitization on external data,Preventative,Apply thorough validation and content filtering to all external data sources,
Internet lookup manipulation,Vetting and verification of training data suppliers,Preventative,Implement verification processes for internet-sourced data and external lookup services,
External source poisoning,Contract terms enforcing integrity,Preventative,Establish contractual requirements for data integrity and accuracy from external sources,
Response generation corruption,Enable content moderation,Preventative,Use Amazon Bedrock Guardrails to filter potentially corrupted or malicious content in responses,
Malicious information propagation,Secure RAG knowledge base with access controls,Preventative,Limit direct human access to data by allowing only authorized middleware to query the knowledge base,
